Asset ID,Service,Asset Name,Category,Environment,Owner,Data Classification,CIA_Confidentiality (1-5),CIA_Integrity (1-5),CIA_Availability (1-5),Criticality (1-3),Dependencies,Primary Location,Vendor/Platform,Authentication,Notes
A0041,SOC Tooling,SOC Tooling Identity 41,Identity,Dev,IT Ops,Restricted,2,3,2,1,On-prem,EU-West,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0042,Network Core,Network Core Infrastructure 42,Infrastructure,Dev,Security,Internal,1,2,5,1,N/A,US-East,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0043,Identity Platform,Identity Platform Endpoint 43,Endpoint,Test,HR,Public,3,1,1,1,N/A,EU-West,Vendor Hosted,MFA,Sample placeholder row; replace with real asset details.
A0044,MES,MES Network 44,Network,Prod,HR,Restricted,5,2,1,1,N/A,EU-West,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0045,SOC Tooling,SOC Tooling Application 45,Application,Test,Product,Public,5,4,3,2,OT network,On-prem DC,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0046,Endpoint Fleet,Endpoint Fleet Application 46,Application,Dev,HR,Internal,5,3,2,1,N/A,On-prem DC,AWS,API Key,Sample placeholder row; replace with real asset details.
A0047,Network Core,Network Core Database 47,Database,Prod,Product,Internal,1,3,1,2,AWS RDS,EU-West,Vendor Hosted,MFA,Sample placeholder row; replace with real asset details.
A0048,SOC Tooling,SOC Tooling Data Set 48,Data Set,Prod,Product,Public,3,1,5,1,Azure SQL,US-West,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0049,ERP,ERP Identity 49,Identity,Test,Data Platform,Restricted,4,3,5,1,OT network,US-West,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0050,Customer Portal,Customer Portal Application 50,Application,Dev,Manufacturing,Internal,5,2,1,3,On-prem,US-East,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0051,Customer Portal,Customer Portal Third Party 51,Third Party,Prod,Manufacturing,Public,2,4,2,3,AWS RDS,US-East,GCP,API Key,Sample placeholder row; replace with real asset details.
A0052,MES,MES OT 52,OT,Prod,HR,Public,5,2,2,1,N/A,US-West,Azure,API Key,Sample placeholder row; replace with real asset details.
A0053,Email,Email Database 53,Database,Dev,Security,Public,1,1,4,2,SaaS,US-East,GCP,MFA,Sample placeholder row; replace with real asset details.
A0054,Email,Email Third Party 54,Third Party,Test,IT Ops,Internal,2,5,3,2,N/A,US-East,AWS,SSO,Sample placeholder row; replace with real asset details.
A0055,Customer Portal,Customer Portal Data Set 55,Data Set,Prod,HR,Public,4,4,4,1,AWS RDS,On-prem DC,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0056,Data Warehouse,Data Warehouse Third Party 56,Third Party,Prod,Manufacturing,Restricted,5,3,1,2,Filesystem,Factory,AWS,API Key,Sample placeholder row; replace with real asset details.
A0057,SOC Tooling,SOC Tooling Infrastructure 57,Infrastructure,Test,Data Platform,Internal,3,2,2,2,Azure SQL,US-East,AWS,Certificate,Sample placeholder row; replace with real asset details.
A0058,Endpoint Fleet,Endpoint Fleet Network 58,Network,Test,Product,Public,5,5,5,3,N/A,EU-West,GCP,MFA,Sample placeholder row; replace with real asset details.
A0059,Customer Portal,Customer Portal Identity 59,Identity,Dev,IT Ops,Public,2,1,2,3,Azure SQL,US-East,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0060,Data Warehouse,Data Warehouse Identity 60,Identity,Prod,Security,Confidential,5,5,1,3,N/A,On-prem DC,Azure,MFA,Sample placeholder row; replace with real asset details.
A0061,Customer Portal,Customer Portal OT 61,OT,Test,Finance,Public,5,5,2,2,SaaS,EU-West,AWS,SSO,Sample placeholder row; replace with real asset details.
A0062,Data Warehouse,Data Warehouse Data Set 62,Data Set,Test,Finance,Internal,1,5,2,3,OT network,Factory,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0063,Endpoint Fleet,Endpoint Fleet Endpoint 63,Endpoint,Prod,Data Platform,Public,1,5,2,1,AWS RDS,On-prem DC,GCP,API Key,Sample placeholder row; replace with real asset details.
A0064,Endpoint Fleet,Endpoint Fleet Data Set 64,Data Set,Prod,HR,Public,5,2,1,2,OT network,US-East,Azure,SSO,Sample placeholder row; replace with real asset details.
A0065,Customer Portal,Customer Portal Network 65,Network,Prod,HR,Restricted,5,2,3,1,AWS RDS,EU-West,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0066,MES,MES Endpoint 66,Endpoint,Dev,Finance,Restricted,3,3,1,2,SaaS,EU-West,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0067,MES,MES OT 67,OT,Test,HR,Public,5,1,1,2,N/A,Factory,AWS,SSO,Sample placeholder row; replace with real asset details.
A0068,MES,MES Third Party 68,Third Party,Test,Product,Confidential,3,3,2,2,Filesystem,On-prem DC,GCP,SSO,Sample placeholder row; replace with real asset details.
A0069,Endpoint Fleet,Endpoint Fleet Database 69,Database,Prod,Product,Restricted,1,3,1,2,N/A,EU-West,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0070,Email,Email Identity 70,Identity,Test,Manufacturing,Public,5,5,4,1,AWS RDS,US-West,GCP,SSO,Sample placeholder row; replace with real asset details.
A0071,ERP,ERP Third Party 71,Third Party,Dev,HR,Restricted,5,5,1,3,N/A,Factory,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0072,Network Core,Network Core Data Set 72,Data Set,Dev,Manufacturing,Internal,5,4,4,2,AWS RDS,Factory,GCP,SSO,Sample placeholder row; replace with real asset details.
A0073,ERP,ERP Identity 73,Identity,Dev,Data Platform,Restricted,2,2,4,3,SaaS,Factory,AWS,SSO,Sample placeholder row; replace with real asset details.
A0074,SOC Tooling,SOC Tooling Data Set 74,Data Set,Prod,Finance,Confidential,5,5,2,2,Azure SQL,US-East,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0075,Identity Platform,Identity Platform Database 75,Database,Test,IT Ops,Restricted,2,1,4,1,On-prem,Factory,Vendor Hosted,MFA,Sample placeholder row; replace with real asset details.
A0076,Network Core,Network Core Network 76,Network,Prod,Manufacturing,Internal,5,3,3,3,SaaS,EU-West,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0077,ERP,ERP Infrastructure 77,Infrastructure,Prod,HR,Confidential,4,2,1,3,SaaS,US-West,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0078,Customer Portal,Customer Portal Application 78,Application,Prod,Security,Internal,1,5,5,1,OT network,Factory,Azure,API Key,Sample placeholder row; replace with real asset details.
A0079,MES,MES OT 79,OT,Prod,Product,Internal,1,2,1,2,SaaS,US-East,AWS,API Key,Sample placeholder row; replace with real asset details.
A0080,Data Warehouse,Data Warehouse Database 80,Database,Prod,Manufacturing,Confidential,3,4,4,1,OT network,On-prem DC,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0081,Email,Email OT 81,OT,Test,Security,Internal,1,4,2,2,Filesystem,EU-West,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0082,Email,Email Identity 82,Identity,Dev,IT Ops,Confidential,1,3,4,1,SaaS,EU-West,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0083,SOC Tooling,SOC Tooling OT 83,OT,Test,Data Platform,Public,3,2,1,3,On-prem,US-East,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0084,MES,MES Database 84,Database,Test,Finance,Confidential,5,1,3,3,OT network,EU-West,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0085,Email,Email Identity 85,Identity,Dev,Security,Confidential,3,5,3,1,On-prem,EU-West,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0086,ERP,ERP OT 86,OT,Test,Product,Confidential,3,3,4,1,On-prem,EU-West,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0087,Identity Platform,Identity Platform Identity 87,Identity,Prod,Security,Public,3,5,2,1,OT network,US-West,GCP,MFA,Sample placeholder row; replace with real asset details.
A0088,Data Warehouse,Data Warehouse Third Party 88,Third Party,Dev,Product,Internal,4,2,1,1,AWS RDS,US-West,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0089,Endpoint Fleet,Endpoint Fleet Application 89,Application,Dev,IT Ops,Restricted,3,2,2,3,AWS RDS,EU-West,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0090,ERP,ERP Identity 90,Identity,Test,Security,Public,3,1,5,1,SaaS,Factory,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0091,Endpoint Fleet,Endpoint Fleet Database 91,Database,Dev,Manufacturing,Public,5,2,2,3,Filesystem,On-prem DC,Azure,SSO,Sample placeholder row; replace with real asset details.
A0092,Customer Portal,Customer Portal Network 92,Network,Prod,IT Ops,Internal,2,4,2,1,On-prem,On-prem DC,AWS,SSO,Sample placeholder row; replace with real asset details.
A0093,Data Warehouse,Data Warehouse OT 93,OT,Prod,HR,Confidential,2,5,1,2,Filesystem,US-West,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0094,ERP,ERP Identity 94,Identity,Dev,Manufacturing,Restricted,3,5,2,3,On-prem,US-West,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0095,Endpoint Fleet,Endpoint Fleet OT 95,OT,Dev,IT Ops,Restricted,4,1,2,1,On-prem,US-West,AWS,API Key,Sample placeholder row; replace with real asset details.
A0096,Endpoint Fleet,Endpoint Fleet Identity 96,Identity,Test,Security,Public,2,5,4,1,AWS RDS,US-East,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0097,Email,Email Identity 97,Identity,Prod,HR,Confidential,5,2,3,3,Filesystem,EU-West,AWS,SSO,Sample placeholder row; replace with real asset details.
A0098,SOC Tooling,SOC Tooling Endpoint 98,Endpoint,Dev,Security,Public,1,5,5,3,N/A,US-East,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0099,SOC Tooling,SOC Tooling Identity 99,Identity,Prod,Security,Internal,4,3,1,1,N/A,US-West,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0100,Network Core,Network Core Endpoint 100,Endpoint,Dev,IT Ops,Public,4,4,1,2,On-prem,On-prem DC,Azure,SSO,Sample placeholder row; replace with real asset details.
A0101,Customer Portal,Customer Portal Application 101,Application,Dev,IT Ops,Confidential,1,2,5,3,Filesystem,On-prem DC,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0102,Customer Portal,Customer Portal OT 102,OT,Dev,Product,Restricted,3,3,3,1,Filesystem,Factory,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0103,Data Warehouse,Data Warehouse Data Set 103,Data Set,Test,Product,Confidential,4,5,4,2,AWS RDS,US-West,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0104,ERP,ERP Application 104,Application,Test,IT Ops,Confidential,1,4,5,2,SaaS,EU-West,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0105,Email,Email Endpoint 105,Endpoint,Dev,Security,Confidential,4,2,4,2,Azure SQL,US-East,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0106,Identity Platform,Identity Platform Application 106,Application,Prod,Manufacturing,Confidential,2,3,2,1,AWS RDS,EU-West,GCP,SSO,Sample placeholder row; replace with real asset details.
A0107,MES,MES Infrastructure 107,Infrastructure,Dev,Data Platform,Confidential,3,1,5,2,Azure SQL,US-West,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0108,Endpoint Fleet,Endpoint Fleet OT 108,OT,Test,Finance,Public,2,2,3,1,Azure SQL,US-West,Azure,SSO,Sample placeholder row; replace with real asset details.
A0109,Identity Platform,Identity Platform OT 109,OT,Prod,HR,Confidential,5,4,2,1,On-prem,US-East,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0110,Identity Platform,Identity Platform Data Set 110,Data Set,Dev,Product,Restricted,2,2,1,3,N/A,On-prem DC,GCP,Certificate,Sample placeholder row; replace with real asset details.
A0111,Customer Portal,Customer Portal Database 111,Database,Test,Product,Restricted,4,4,1,1,OT network,On-prem DC,GCP,Certificate,Sample placeholder row; replace with real asset details.
A0112,SOC Tooling,SOC Tooling Data Set 112,Data Set,Prod,Product,Restricted,1,5,4,2,SaaS,EU-West,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0113,Data Warehouse,Data Warehouse Identity 113,Identity,Dev,IT Ops,Confidential,5,2,3,1,N/A,On-prem DC,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0114,Identity Platform,Identity Platform Data Set 114,Data Set,Prod,Security,Restricted,5,1,2,1,On-prem,EU-West,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0115,Endpoint Fleet,Endpoint Fleet Database 115,Database,Test,Manufacturing,Internal,2,1,1,1,SaaS,EU-West,AWS,SSO,Sample placeholder row; replace with real asset details.
A0116,Endpoint Fleet,Endpoint Fleet Endpoint 116,Endpoint,Prod,Data Platform,Restricted,1,5,3,3,N/A,US-East,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0117,Network Core,Network Core Database 117,Database,Dev,Security,Public,4,5,1,1,AWS RDS,US-West,AWS,MFA,Sample placeholder row; replace with real asset details.
A0118,Email,Email Third Party 118,Third Party,Prod,HR,Restricted,2,4,1,1,Azure SQL,Factory,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0119,Email,Email Third Party 119,Third Party,Test,Security,Internal,1,1,4,3,Azure SQL,US-West,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0120,MES,MES Identity 120,Identity,Dev,IT Ops,Public,2,1,4,1,On-prem,Factory,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0121,MES,MES Endpoint 121,Endpoint,Dev,HR,Restricted,5,2,4,2,N/A,On-prem DC,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0122,Network Core,Network Core Application 122,Application,Dev,Finance,Restricted,5,2,3,3,Azure SQL,Factory,GCP,MFA,Sample placeholder row; replace with real asset details.
A0123,Identity Platform,Identity Platform Infrastructure 123,Infrastructure,Test,HR,Public,2,1,3,3,On-prem,On-prem DC,Vendor Hosted,MFA,Sample placeholder row; replace with real asset details.
A0124,SOC Tooling,SOC Tooling Data Set 124,Data Set,Prod,Data Platform,Internal,5,3,3,2,AWS RDS,Factory,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0125,Customer Portal,Customer Portal Data Set 125,Data Set,Test,IT Ops,Public,1,3,4,2,Filesystem,US-East,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0126,Customer Portal,Customer Portal Infrastructure 126,Infrastructure,Prod,IT Ops,Restricted,1,5,3,1,N/A,On-prem DC,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0127,Customer Portal,Customer Portal Endpoint 127,Endpoint,Test,HR,Internal,1,2,1,3,Filesystem,US-West,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0128,MES,MES Third Party 128,Third Party,Prod,Finance,Restricted,1,1,1,3,N/A,EU-West,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0129,Customer Portal,Customer Portal Endpoint 129,Endpoint,Test,IT Ops,Public,4,2,2,2,Filesystem,US-West,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0130,Endpoint Fleet,Endpoint Fleet Endpoint 130,Endpoint,Dev,Manufacturing,Public,2,5,4,3,SaaS,Factory,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0131,MES,MES Database 131,Database,Dev,Manufacturing,Public,2,1,5,1,Azure SQL,Factory,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0132,Identity Platform,Identity Platform Database 132,Database,Prod,IT Ops,Confidential,1,4,1,1,N/A,On-prem DC,GCP,Certificate,Sample placeholder row; replace with real asset details.
A0133,Identity Platform,Identity Platform Network 133,Network,Dev,Finance,Public,3,4,3,2,AWS RDS,On-prem DC,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0134,Data Warehouse,Data Warehouse Endpoint 134,Endpoint,Prod,Security,Public,1,3,1,1,Filesystem,On-prem DC,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0135,MES,MES OT 135,OT,Dev,HR,Internal,1,5,2,1,AWS RDS,US-East,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0136,MES,MES Application 136,Application,Test,IT Ops,Internal,5,4,5,2,AWS RDS,On-prem DC,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0137,Data Warehouse,Data Warehouse OT 137,OT,Test,Product,Internal,3,5,2,2,AWS RDS,US-East,Azure,Certificate,Sample placeholder row; replace with real asset details.
A0138,Endpoint Fleet,Endpoint Fleet Endpoint 138,Endpoint,Test,Finance,Internal,3,1,3,2,OT network,US-West,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0139,Endpoint Fleet,Endpoint Fleet Application 139,Application,Test,Manufacturing,Confidential,4,2,4,3,OT network,On-prem DC,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0140,Email,Email Data Set 140,Data Set,Dev,HR,Restricted,1,4,4,2,Filesystem,Factory,AWS,MFA,Sample placeholder row; replace with real asset details.
A0141,SOC Tooling,SOC Tooling OT 141,OT,Dev,Manufacturing,Public,3,3,5,3,AWS RDS,US-West,AWS,SSO,Sample placeholder row; replace with real asset details.
A0142,Identity Platform,Identity Platform Application 142,Application,Test,IT Ops,Confidential,4,5,2,1,SaaS,US-West,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0143,Network Core,Network Core Infrastructure 143,Infrastructure,Dev,Manufacturing,Public,2,4,2,3,Azure SQL,EU-West,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0144,Network Core,Network Core Network 144,Network,Dev,HR,Confidential,4,5,3,3,N/A,On-prem DC,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0145,Identity Platform,Identity Platform Network 145,Network,Prod,Manufacturing,Restricted,3,3,3,1,AWS RDS,US-West,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0146,Identity Platform,Identity Platform Network 146,Network,Test,Finance,Restricted,1,3,5,3,AWS RDS,EU-West,GCP,Certificate,Sample placeholder row; replace with real asset details.
A0147,Customer Portal,Customer Portal Identity 147,Identity,Dev,IT Ops,Public,2,1,3,3,AWS RDS,US-East,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0148,Identity Platform,Identity Platform Database 148,Database,Prod,Product,Public,1,5,4,1,OT network,US-West,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0149,SOC Tooling,SOC Tooling OT 149,OT,Test,IT Ops,Internal,2,3,2,2,SaaS,Factory,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0150,Customer Portal,Customer Portal Network 150,Network,Prod,Security,Internal,2,4,4,3,On-prem,On-prem DC,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0151,Customer Portal,Customer Portal Infrastructure 151,Infrastructure,Test,Data Platform,Confidential,3,1,4,1,N/A,US-East,GCP,Certificate,Sample placeholder row; replace with real asset details.
A0152,Data Warehouse,Data Warehouse Third Party 152,Third Party,Prod,Product,Restricted,1,4,4,2,On-prem,On-prem DC,Azure,SSO,Sample placeholder row; replace with real asset details.
A0153,ERP,ERP Network 153,Network,Prod,Product,Restricted,3,2,2,1,Filesystem,EU-West,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0154,Customer Portal,Customer Portal Infrastructure 154,Infrastructure,Test,Data Platform,Public,5,2,2,1,N/A,US-West,GCP,API Key,Sample placeholder row; replace with real asset details.
A0155,Data Warehouse,Data Warehouse Network 155,Network,Prod,Finance,Confidential,4,3,4,2,Azure SQL,On-prem DC,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0156,Network Core,Network Core Infrastructure 156,Infrastructure,Test,Data Platform,Restricted,3,2,1,3,On-prem,On-prem DC,AWS,API Key,Sample placeholder row; replace with real asset details.
A0157,Data Warehouse,Data Warehouse Third Party 157,Third Party,Prod,Security,Internal,2,4,4,1,AWS RDS,EU-West,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0158,Customer Portal,Customer Portal Infrastructure 158,Infrastructure,Dev,Data Platform,Restricted,2,5,2,1,Filesystem,On-prem DC,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0159,Data Warehouse,Data Warehouse Data Set 159,Data Set,Prod,Product,Restricted,1,2,2,3,SaaS,US-East,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0160,Customer Portal,Customer Portal Identity 160,Identity,Prod,Security,Public,4,3,5,1,OT network,EU-West,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0161,ERP,ERP Data Set 161,Data Set,Dev,Manufacturing,Confidential,3,4,4,1,OT network,US-West,Azure,Certificate,Sample placeholder row; replace with real asset details.
